Name,Year of release,Number of Episodes,Rating,Synopsis,Genre,Director,Cast,Rank
True Beauty,2020,16,8.3,"True Beauty is a romantic comedy about a high school girl Lim Ju Gyeong, who rises to pretty girl fame after she masters the art of make-up from YouTube. She turns into a goddess because of her makeup skills, but would rather die than reveal her bare face to anyone. It tells her love story with the only boy that saw her without makeup, Lee Su Ho. Lee is an attractive and handsome boy who appears cold because of his dark past but is actually very caring. They grow when they meet each other sharing their secrets and finding love with each other, but can Su Ho make Ju Gyeong find her true beauty?","Comedy, Romance, Youth, Drama",Kim Sang Hyub,"Moon Ga Young, Cha Eun Woo, Hwang In Youp, Park Yoo Na, Jang Hye Jin, Park Ho San",#195
Oh My Ghost,2015,16,8.3,"Bong Sun, a timid young woman, is possessed by the ghost of a lustful virgin. She has zero self-confidence, and because of her extreme shyness, she doesn’t have any close friends. At the restaurant where she works as an assistant, she’s not particularly good at anything, and mostly just gets yelled at a lot. Her grandmother was a shaman so from a young age she’s been able to occasionally see ghosts, though it’s not until she meets the lascivious ghost that she gets possessed totally. Sun Woo is a conceited star chef who’s overflowing with confidence in his food and his skills. Bong Sun harbours a secret crush on him, though he doesn't take much notice of her for two reasons: because he’s always surrounded by women and because he’s hung up on an old flame. But then one day, Bong Sun starts acting differently, shedding her mousy personality, and ends up constantly on Sun Woo’s mind.","Thriller, Comedy, Romance, Supernatural",Yoo Je Won,"Park Bo Young, Kim Seul Gi, Jo Jung Suk, Im Joo Hwan, Kang Ki Young, Kwak Shi Yang",#196
God's Gift: 14 Days,2014,16,8.3,"Kim Soo Hyun is a mother whose young daughter Han Saet Byul gets kidnapped and murdered. Due to a mysterious event where time was turned back exactly 14 days before the event, Soo Hyun is given a second chance to expose the kidnapping plot and save her daughter before she dies all over again. Helping her is Ki Dong Chan, a former cop turned private investigator who seems to have his own stake in the whole situation. As Soo Hyun and Dong Chan race against the clock, new light is shed on the crimes, and they uncover secrets far more treacherous than Soo Hyun could have ever imagined.","Thriller, Mystery, Drama, Supernatural",Lee Dong Hun,"Lee Bo Young, Cho Seung Woo, Kim Tae Woo, Kim Yoo Bin, Jung Gyu Woon, Kim Jin Hee",#197
The Sound of Your Heart,2016,20,8.3,"""The Sound of Your Heart"" comically follows Jo Suk's ridiculous but hilarious adventures with his girlfriend-turned-wife Ae Bong, their dogs, older brother Jo Joon, and parents.","Comedy, Life, Sitcom",Ha Byung Hoon,"Lee Kwang Soo, Kim Dae Myung, Jung So Min, Kim Byung Ok, Kim  Mi Kyung, Park Sang Hoon",#198
The Veil,2021,12,8.3,"A Korean-style spy investigation show with a story about a top National Intelligence Service (NIS) agent. In his endeavor to uncover the internal traitor that brought him to his downfall, he confronts a much bigger enemy behind the organization. Han Ji Hyuk is the top field agent in the NIS. He is held in awe by his colleagues for his perfect record and skill at completing missions. He had been driving an organized crime syndicate into a corner when he vanished off the face of the earth, but he returns in the most horrific state and doesn't remember anything that happened within the last year. With his memory lost, Ji Hyuk gets assigned to a team with minor tasks. While on the team, he meets Je Yi, who is delicate and heartwarming but with a painful past. Seo Soo Yeon is the head of team 4 of the Crime Information Center who is excellent at performing her duties and solving cases. She has great affection for people, and she especially cares for her teammates.","Action, Thriller, Mystery, Crime",Kim Sung Yong,"Namkoong Min, Park Ha Sun, Kim Ji Eun, Jang Young Nam, Kim Jong Tae, Kim Do Hyun",#199
Graceful Family,2019,16,8.3,"Mo Seok Hee is the sole daughter of the MC Group business empire. Financially, she wants for nothing. However, all is not well with her. She is haunted by the passing of her mother, who died in mysterious circumstances a decade and a half ago. Ever since her mother’s death, she has been living in the United States, apart from her father. But when she makes the fateful decision to return home to South Korea, her life is sent into a tailspin – along with the fortunes of the MC Group. Back in South Korea, she meets Heo Yoon Do, a lawyer from a humble background. Heo Yoon Do has been hired by the MC Group as a member of the TOP crisis management team that helps cover up misdemeanors committed by the Mo family. Together the duo builds an unlikely friendship and embarks on a quest to uncover the truth about the death of Mo Seok Hee’s mother. Will Mo Seok Hee and Heo Yoon Do uncover the dark truth behind a death that took place 15 years ago? What other secrets is the MG Group hiding? And could working together lead the duo to romance?","Thriller, Mystery, Drama, Melodrama",Han Cheol Soo,"Im Soo Hyang, Lee Jang Woo, Bae Jong Ok, Lee Kyu Han, Kim Jin Woo, Jeon Jin Seo",#200
Gu Family Book,2013,24,8.3,"Choi Kang Chi is a half-human and half-mythical-creature who was adopted by the lord of the Hundred Years Inn. He was the son of Gu Wol Ryung, the guardian spirit of Jiri Mountain, and the human Yoon Seo Hwa. Dam Yeo Wool is a martial arts master and daughter of the leader of a secret organization protecting the region. She was sent to the Hundred Years Inn to observe and protect its lord. They met at the Hundred Years Inn, the most popular inn in the region, and fell in love with each other despite Choi Kang Chi being a half-human. When their world turned into chaos, it is up to Choi Kang Chi to put it back into order; and up to Dam Yeo Wool to ensure that Choi Kang Chi's half-mythical-creature side does not get the best of him.","Action, Historical, Romance, Fantasy ","Shin Woo Cheol, Kim Jung Hyun","Lee Seung Gi, Bae Suzy, Lee Sung Jae, Yoo Yeon Seok, Lee Yoo Bi, Sung Joon",#201
The Hymn of Death,2018,6,8.3,"Kim Woo Jin is a stage drama writer while Korea is under Japanese occupation. He is married, but he falls in love with Yun Shim Deok. Shim Deok is the first Korean soprano. She records the song “Praise of Death” which becomes the first Korean pop song in 1926. Woo Jin and Shim Deok's fate ends tragically.","Music, Historical, Romance, Melodrama",Park Soo Jin,"Lee Jong Suk, Shin Hye Sun, Park Seon Im, Lee Ji Hoon, Han Eun Seo, Kim Kang Hyun",#202
Jumong,2006,81,8.3,"Jumong was the founder of Goguryeo in 37 BC. He was the son of General Hae Mo Su and Lady Yoo Hwa and was raised by King Geum Wa, who took him and his mother in when Hae Mo Su was believed to have been killed in an ambush by the Han Dynasty. So Seo No was a merchant's daughter who helped Jumong in realizing his dream to build a new country, and later became his second wife.","Adventure, Historical, Romance, Drama","Lee Joo Hwan, Kim Keun Hong","Song Il Gook, Han Hye Jin, Kim Seung Soo, Jeon Kwang Ryul, Oh Yeon Soo, Song Ji Hyo",#203
Vampire Prosecutor 2,2012,11,8.3,"In the second season of “Vampire Prosecutor,” Min Tae Yeon is back as the prosecutor who heads up a new division that investigates unsolved murder cases. No one, except for Detective Hwang Soon Bum, knows that Tae Yeon was bitten seven years ago and acquired vampire powers. Together, they solve murder cases, and each time Tae Yeon uses his “powers” to find leads on cases that seem unsolvable. But the one thing he can’t solve is: who was the vampire/serial killer that turned him seven years ago? And what happens when Jung In becomes suspicious of Tae Yeon’s “questionable” tactics in solving cases.","Action, Mystery, Drama, Supernatural",Yoo Seon Dong,"Yeon Jung Hoon, Lee Young Ah, Lee Won Jong, Lee Kyung Young, Kim Joo Young, Gong Jung Hwan",#204
Ugly Alert,2013,133,8.3,"The story of a man named Gong Joon Soo who sacrificed himself by pretending to be a murderer to protect his younger stepbrother from being accused instead. While serving time in prison, he learns to sew and acquires a trade. Following his release, he starts working in a fashion company that is a part of BY Group. There he meets the workaholic Na Do Hee, the heiress of her grandfather’s company. Na Do Hee falls in love with Gong Joon Soo as both of them get to understand each other and cure their wounds.","Business, Romance, Melodrama","Shin Yoon Sub, Min Yeon Hong","Im Joo Hwan, Kang So Ra, Kang  Byul, Choi  Tae Joon, Kim Seol Hyun, Shin So Yool",#205
Misty,2018,16,8.3,"Go Hye Ran is an ambitious anchorwoman for the popular news show, News 9. She is passionate about her job and doesn't stop until she gets what she wants. One day, she meets an old lover and his wife and gets tangled in a murder case. Her husband Kang Tae Wook, who is a public defender, decides to defend his wife and fix their failed marriage.","Thriller, Mystery, Romance, Melodrama",Mo Wan Il,"Kim Nam Joo, Ji Jin Hee, Jeon Hye Jin, Im Tae Kyung, Go Jun, Jin Ki Joo",#206
Voice 3: City of Accomplices,2019,16,8.3,Emergency 112 call center members deal with an international evil cartel. The group is involved in the internet's dark web.,"Thriller, Mystery, Psychological, Crime",Nam Ki Hoon,"Lee  Ha Na, Lee Jin Wook, Son Eun Seo, Kim Woo Seok, Kim Joong Ki, Song Boo Geon",#207
Confession,2019,16,8.3,"A case involving the hidden truth behind the law prohibiting double jeopardy. When Choi Do Hyun was a boy, he had a heart disease. He spent most of his childhood in a hospital. He miraculously had a chance for a heart transplant. Right after the successful heart transplant surgery, his father was accused of murder. His father received the death penalty. To investigate his father's case, Do Hyun now works as a lawyer.","Thriller, Mystery, Law, Drama","Kim Chul Gyu, Yoon Hyun Gi","Lee Jun Ho, Shin Hyun Bin, Yoo Jae Myung, Nam Ki Ae, Yoon Gyung Ho, Ryu Kyung Soo",#208
Again My Life,2022,16,8.3,"Kim Hee Woo came from an inauspicious start as a low-grade high schooler to work his way up through university and finally pass the bar examination. His relentless hard work has finally paid dividends, and he has become a public prosecutor. During the course of his investigations, he must conduct a probe into a politician suspected of corruption. But his investigation is abruptly ended when a mysterious man kills him. However, he later comes to, finding that he is actually alive. Restored to the mortal realm, he finds that he must return to university and complete his academic journey again – while he tries to discover the truth about what happened to him. On his journey, he encounters Kim Hee Ah, an exceptionally intelligent young woman who also happens to be the youngest daughter of the family that owns the wealthy Cheonha business group. As Kim Hee Woo and Kim Hee Ah intensify their search for answers, they discover that a shady cabal of rich power brokers may have played a part in his “death.”","Mystery, Law, Drama, Fantasy","Han Cheol Soo, Kim Yong Min","Lee Joon Gi, Lee Kyung Young, Kim Ji Eun, Jung Sang Hoon, Choi Kwang, Hong Bi Ra",#209
Money Heist: Korea - Joint Economic Area - Part 1,2022,6,8.3,"Thieves overtake the mint of a unified Korea. With hostages trapped inside, the police must stop them — as well as the shadowy mastermind behind it all.","Action, Thriller, Mystery, Crime",Kim Hong Seon,"Yoo Ji Tae, Park Hae Soo, Jeon Jong Seo, Lee Won Jong, Kim Ji Hoon, Jang Yoon Ju",#210
Are You Human Too?,2018,36,8.3,"The drama tells of an android called Nam Shin III who must pretend to be the son of a rich family when the real Nam Shin falls into a coma. Nam Shin's mother, Oh Ro Ra, is a genius at brain technology and artificial intelligence (AI) so when her son, the real Nam Shin, is taken away from her at a young age, in her grief she creates an android that looks exactly like her son and has it grow up in the place of Nam Shin. But when Nam Shin, who is a third generation heir to PK group, gets in an accident and is comatose, the android Nam Shin III must learn how to take his place.","Comedy, Romance, Sci-Fi, Fantasy",Cha Young Hoon,"Seo Kang Joon, Gong Seung Yeon, Lee Joon Hyuk, Park Hwan Hee, Kim Sung Ryung, Yoo Oh Sung",#211
Run On,2020,16,8.3,"Ki Sun Gyeom is a sprinter on the national team who was forced to quit due to legal issues. Oh Mi Joo writes translated subtitles for movies. She was thrilled to see her name listed among the credits when she first started. Ki Sun Gyeom had just quit sprinting when he encountered Oh Mi Joo, who felt that destiny most certainly brought them together. Seo Dan Ah is the CEO of a sports agency and the rightful successor to the Seomyung Group. Despite this, she is held back from advancing in the company due to her gender. She fiercely wishes to reclaim what is rightfully hers and lives her life accordingly. Lee Young Hwa, a university art major who enjoys movies and drawing soon enters her life. Could romance be in the cards for these two couples?","Romance, Life, Drama, Sports",Lee Jae Hoon,"Yim Si Wan, Shin Se Kyung, Choi Soo Young, Kang Tae Oh, Park Young Gyu, Cha Hwa Yun",#212
The Smile Has Left Your Eyes,2018,16,8.3,"A TV series centered around the unfolding relationship between free and unpredictable yet dangerous Kim Moo Young, who is called a ""monster"". He is the first assistant in a Korean beer brewery who becomes a suspect when a woman's suicide turns out to be murder. His life begins to change when he meets a kind, warm advertising designer named Yoo Jin Kang, who wishes to be Moo Young's safe haven. She bears as many emotional scars as him. Yoo Jin Kang also has a brother, a homicide detective named Yoo Jin Gook, with 27 years of job experience. He strives to ""reveal"" who Moo Young really is and attempts to keep his sister, Jin Kang, away from Moo Young, with whom she begins to know.","Thriller, Mystery, Romance, Drama",Yoo Je Won,"Seo In Guk, Jung So Min, Park Sung Woong, Seo Eun Soo, Go Min Si, Jang Young Nam",#213
Team Bulldog: Off-duty Investigation,2020,12,8.3,"Known as an enthusiastic and impressively effective detective, Jin Kang Ho will stop at nothing to catch the criminals he’s assigned to pursue. Using any means necessary, Kang Ho goes above and beyond the call of duty to bring in the bad guys. While his gung ho attitude makes him an outstanding detective, it makes getting along with his colleagues a bit difficult. With a passion for solving the unsolvable cases, Kang Ho finds it’s better to work alone. Or so it was, until the day he met Kang Moo Young. The overly zealous producer of a low-rated investigative program, Moo Young is as enthusiastic about solving cases and catching criminals as Kang Ho. Sharing such an intense passion for their work, the two agree to team up, working together to make the world a better place. Soon joined on their quest to better the world by a former criminal profiler, a bar CEO and legendary fist-fighter who has chosen to put his past behind him, and a funeral director who once headed up the ace autopsy team at the National Forensic Service, this ragtag team soon become an unstoppable force in the world of crime-fighting.","Action, Mystery, Comedy, Drama",Kang Hyo Jin,"Cha Tae Hyun, Lee Sun Bin, Jung Sang Hoon, Yoon Gyung Ho, Ji Seung Hyun, Im Chul Hyung",#214
The Guardians,2017,32,8.3,"The plot centers on a group of people who find their ordinary lives thrown into chaos due to a family tragedy. They monitor criminals 24 hours a day and rescue potential victims before the crime is committed. They also embarrass corrupt state prosecutors and make sure that criminals are punished for their crimes. This TV show illustrates the current society where the simple rule of going to jail if you break the law no longer applies to those in power. Illustrating the tragic lives of the Watchmen group who channel their anger and grief into fighting for justice, “The Guardians” will have stylistic action scenes and a thrilling plot.","Action, Thriller, Mystery, Law, Crime","Song Hyung Suk, Park Seung Woo","Lee Si Young, Kim Young Kwang, Kim Tae Hoon, Kim Seul Gi, Key, Choi Moo Sung",#215
Terius Behind Me,2018,32,8.3,"Go Ae Rin is a single mother who, after unexpectedly losing her husband, gets involved in a spy war. She lives in the apartment in front of Kim Bon. Kim Bon, whose code name is Terius, is a legendary black ops agent for the National Intelligence Service (NIS) who has gone into hiding after disappearing without a trace. 3 years ago, in a failed secret operation, he lost the woman he loved. Since then, Kim Bon has hidden away in his apartment, next to Go Ae Rin, isolated from the world around him and living in secrecy trying to uncover the mystery behind what happened back then. When a mysterious incident arises, in which Go Ae Rin's husband dies, they both team up to uncover a huge conspiracy in which Go Ae Rin's husband had become involved. Joining them is Jin Young Tae, a former con man, who may hold the key to what Go Ae Rin and Kim Bon are searching for, and Yoo Ji Yeon, a fellow NIS agent, who appears cold and unfeeling on the outside but harbours feelings towards Kim Bon, who she is kind towards.","Action, Mystery, Comedy, Romance","Park Sang Hoon, Park Sang Woo","So Ji Sub, Jung In Sun, Son Ho Jun, Im Se Mi, Kim Gun Woo, Ok Ye Rin",#216
Hyena,2020,16,8.3,"Hyena' deals with very competitive, private lawyers who only work for the richest 1% of society.  Lawyer Jung Geum Ja crosses the boundaries of law and lawlessness, justice and injustice, ethics and corruption. She is a true hyena that chases after success and money no matter what it takes. Armed with the strongest survival instincts, she endures through it all.  Yoon Hee Jae is a successful, elite lawyer. Confident in his abilities, he possesses a brilliant mind that is wrapped around his ego. Using his skills to support the highest in the land, he’s an expert at maneuvering the law to cater to their needs.","Mystery, Comedy, Law, Romance",Jang Tae Yoo,"Joo Ji Hoon, Kim Hye Soo, Lee Kyung Young, Kim Ho Jung, Song Young Kyu, Jun Suk Ho",#217
Touch Your Heart,2019,16,8.3,"Oh Yoon Seo is a popular actress. She is famous for her beautiful appearance, but her acting is bad. She gets involved in a scandal with the son from a chaebol family. Her acting career declines precipitously. Oh Yoon Seo hears that a famous screenwriter wants her to play the lead female role for a drama series. The character works as a secretary for a lawyer. To gain experience for the role, Oh Yoon Seo is required to work as a lawyer's secretary for a few months. Meanwhile, Kwon Jung Rok is an attorney for a law firm. He is arrogant and cold-hearted. One day, his boss asks Kwon Jung Rok to let actress Oh Yoon Seo work as his secretary for 3 months. He is not happy about the situation, but he has to accept.","Comedy, Law, Romance, Drama",Park Joon Hwa,"Lee Dong Wook, Yoo In Na, Lee Sang Woo, Son Sung Yoon, Oh Jung Se, Shim Hyung Tak",#218
Angry Mom,2015,16,8.3,"The protagonist, Jo Kang Ja was once legendary for being the toughest, most feared troublemaker at her high school in Busan. Due to her pregnancy in her late teens, she drops out of school and tries to become a responsible mother to her daughter, Oh Ah Ran. Fast-forward to the present, Kang Ja is now 34 years old and Ah Ran is a teenager attending high school. The two have a contentious relationship, with Ah Ran ashamed of Kang Ja's unrefined ajumma manners. Meanwhile, in Myungsung High School, when Ah Ran befriends the class outcast Jin Yi Kyung, it makes her the target of the school bullies who make her life hell, yet she's too proud to tell her mother what's happening. When Kang Ja finds out that her daughter is getting bullied, she decides to take matters into her own hands. Unbeknownst to Ah Ran, Kang Ja enrolls in Myungsung High as an undercover student with the false name ""Jo Bang Wool"" to teach those bullies a lesson. But she ends up unraveling the darker problems within the educational system. Kang Ja makes it her mission to put a stop to the school violence, dig up the flaws of the education system, and school corruption at Myungsung High with the help of Ah Ran and naive, idealistic homeroom teacher Park No Ah.","Comedy, Drama, Melodrama",Ashbun,"Kim Hee Sun, Kim Yoo Jung, Ji Hyun Woo, Kim Ji Soo, Baro, Kim Tae Hoon",#219
Welcome 2 Life,2019,32,8.3,"“Welcome 2 Life” is a fantasy drama that will tell the story about a selfish lawyer who helps people who want to take advantage of the law. One day, he gets sucked into a parallel universe due to an unfortunate accident and begins to live a completely new life as an upright prosecutor.","Comedy, Law, Romance, Fantasy","Kim Keun Hong, Shim So Yeon","Rain, Im Ji Yeon, Kwak Shi Yang, Seo Hye Rin, Park Yoon Young, Son Byung Ho",#220
Suspicious Partner,2017,40,8.3,"Noh Ji Wook is a brainiac prosecutor and Eun Bong Hee is a rookie justice department intern, who always seems to find herself in the most unfortunate and embarrassing situations. Bong Hee is falsely accused of murdering her ex-boyfriend, and Ji Wook gets demoted because he risks his career and reputation to save Bong Hee. Things get complicated as their careers, and love lives get entangled, but one thing brings them together- catching the real culprit responsible for a series of murders before they run out of time and get themselves killed. Ji Eun Hyuk used to be a good friend of Ji Wook, and their friendship used to be the strongest ever. During Eun Hyuk's troubled childhood, Ji Wook used to feel like his only family.","Thriller, Comedy, Law, Romance",Park Seon Ho,"Ji Chang Wook, Nam Ji Hyun, Choi  Tae Joon, Kwon Na Ra, Dong Ha, Kim Ye Won",#221
Mine,2021,16,8.3,"“Mine” is about strong and ambitious women who overcome the world’s prejudices in order to find their true selves. Seo Hee Soo was a former top actress, but she gave up her career to marry the second son of Hyo Won Group. She does her best to fit in as a daughter-in-law of that family. She acts confidently all the time to not to lose her true self. Jung Seo Hyun, on the other hand, is married to the first son of the same chaebol family. She is also the daughter of a chaebol family and is elegant, intelligent, and also very rational.","Thriller, Mystery, Drama",Lee Na Jung,"Lee Bo Young, Kim Seo Hyung, Ok Ja Yeon, Lee Hyun Wook, Cha Hak Yeon, Jung Yi Seo",#222
When the Weather Is Fine,2020,16,8.3,"A story about forgiveness, healing, and love taking place around a small book store in the countryside. Hae Won is an ordinary woman with good character. She has played the cello since she was a child. Hae Won began her social life with her ability to play the cello but, during that time, she was hurt emotionally by others. Due to that, Hae Won does not trust people and she has closed her heart to others. Hae Won becomes sick and tired of her life in Seoul and decides to move back to her hometown Bookhyun Village. There, Hae Won meets Eun Seob who runs a bookshop named ""Goodnight Bookstore."" Eun Seob's daily life is simple; wake up, drink coffee, read a book, and write on his blog. However, Eun Seob's daily life begins to change after he meets Hae Won.","Romance, Life, Drama, Melodrama",Han Ji Seung,"Park Min Young, Seo Kang Joon, Lee Jae Wook, Kim Hwan Hee, Moon Jung Hee, Im Se Mi",#223
Lawless Lawyer,2018,16,8.3,"Whatever gets the job done. Bong Sang Pil  grew up living the gangster life, full of tough physical fights and evading the law. When his mother dies a tragic death, he is determined to avenge her death. Sang Pil becomes a lawyer and begins to go after people with absolute power who think they are beyond the law. With the cunning and skills from his previous life, Sang Pil uses both his fists and legal loopholes to amass an impressive winning record. Ha Jae Yi is a young lawyer who believes the law is sacred and fights for justice. But her license gets suspended when she hits a judge over an unjust ruling during a trial. Jae Yi ends up going to work for Sang Pil so that she can continue to pay off her father’s debts. When Sang Pil and Jae Yi get involved in a case that involves Cha Moon Sook, a senior judge who wields a great deal of power, and Ahn Oh Joo, a former gangster who is now the CEO of a corporation, can they figure out a way to beat the most powerful people in the city at a very dangerous game?","Action, Thriller, Law, Romance",Kim Jin Min,"Lee Joon Gi, Seo Yea Ji, Lee Hye Young, Choi Min Soo, Lee Ro Woon, Lee Dae Yeon",#224
Crazy Love,2022,16,8.3,"No Go Jin is the most popular mathematics instructor in the private education field and the CEO of GOTOP Education. Even though he has only a high school level education, he has achieved all of his success due to his extreme intelligence. He seems like a perfect man with a handsome appearance, high IQ, and wealth. He is also narcissistic. One day, he is suddenly warned that he will be murdered. Lee Shin A works as No Go Jin’s secretary. She is a diligent and responsible employee. Due to her quiet and introverted personality, she has little presence with her boss No Go Jin and her colleagues at work. Her colleagues begin to recognize her, because she has worked for the notorious No Go Jin for more than 1 year. She then learns that she does not have much time left to live.","Comedy, Romance, Drama",Kim Jung Hyun,"Kim Jae Wook, Krystal Jung, Ha Joon, Yoo In Young, Im Won Hee, Park Han Sol",#225
WATCHER,2019,16,8.3,"After a dramatic incident 15 years ago, a senior detective, Do Chi Kwang, a former prosecutor Han Tae Joo and a young policeman, Kim Young Koon, become members of an internal affairs investigation team to uncover the truth and root out corruption and injustice from within the ranks of the police.","Thriller, Mystery, Drama, Political",Ahn Gil Ho,"Seo Kang Joon, Han Seok Kyu, Kim Hyun Joo, Park Joo Hee, Heo Sung Tae, Joo Jin Mo",#226
Five Enough,2016,54,8.3,"After losing his wife five years ago, Lee Sang Ta is left with his two children. Since that time, he lives with his two kids and parents-in-law, who treat him like their own son. He works as a marketing team leader for a fashion brand and never expects to find someone who will make his heart beat again. Ahn Mi Jeong works as an assistant manager at the same fashion company. 3 years ago, her husband had an affair with her friend and left her. She couldn't tell her 3 children the truth about their father and lied that he went to work in America. To this day, the children still believe that their father is in America. She has numbed herself from the struggles of raising her children alone while working. As these two begin to find love again, a tempest is brewing as three sets of in-laws and five children learn to become one family.","Comedy, Romance, Drama, Melodrama",Kim Jung Gyu,"Ahn Jae Wook, So Yoo Jin, Sung Hoon, Shin Hye Sun, Shim Hyung Tak, Shim Yi Young",#227
Amanza,2020,10,8.3,"A 26-year-old man’s life is turned upside down when he is diagnosed with terminal stomach cancer. As he struggles with the pain of his treatment and the realization that he never truly lived, he retreats into his imagination, to a magical forest where answers and miracles can be found.","Adventure, Life, Fantasy, Melodrama",Han Ji Won,"Kim Ji Soo, Lee Seol, Oh Hyun Kyung, Yoo Seung Mok, Lee Jong Won, Shin Joo Hwan",#228
Light on Me,2021,16,8.3,"Tae Kyung is a 18-year-old high school student. He is also a lifelong loner. But one day, he starts questioning his own judgment and tells a teacher that he no longer wishes to be alone. The problem is, he has no idea how to start going about making new friends. The teacher advises him to join the school’s student council. He agrees, but discovers that making friends may be harder than it seems. He meets the Vice President of the council, Shin Woo, who is cool and level-headed, but also somewhat cold toward him and reluctant to accept Tae Kyung. However, he also meets the super-attractive President of the council: Da On, who appears to take an instant shine to him. The beginnings of a romance appear to be in the cards for Da On and Tae Kyung, but Shin Woo does not seem to approve. Matters are further complicated by the fact that Da On’s close female friend – who secretly loves Da On – is jealous of their closeness, and attempts to drive a wedge between them!","Romance, Youth, Drama",Lee Yoo Yeon,"Lee Sae On, Kang Yoo Seok, Choe Chan Yi, Go Woo Jin, Lee Ki Hyun, Yang Seo Hyun",#229
Bulgasal: Immortal Souls,2021,16,8.3,"The series tells the story of a man-turned-immortal, Bulgasal, who wants revenge from a woman with a mysterious past and present, who he deems responsible for his immortality and miseries from the past 600 years, hoping to free himself from his curse. ","Thriller, Mystery, Drama, Fantasy",Jang Young Woo,"Lee Jin Wook, Kwon Na Ra, Lee Joon, Gong Seung Yeon, Jung Jin Young, Kim Woo Seok",#230
Liar Game,2014,12,8.3,Various contestants take part in a game show with a prize of 10 billion won. The contestants who can cheat the others wins the prize. Contestants include genius swindler Ha Woo Jin and naive college student Nam Da Jung.,"Thriller, Mystery, Psychological, Drama",Kim Hong Seon,"Lee Sang Yoon, Kim So Eun, Shin Sung Rok, Cha Soo Yeon, Choi Jin Ho, Choi Yoon So",#231
Tree With Deep Roots,2011,24,8.3,"Early in his reign, King Se Jong accidentally causes the death of his in-laws and their slaves in an attempt to save them from his brutal father, King Tae Jong. Two young slaves, Ddol Bok and his friend Dam survive but neither knows the other has. Ddol Bok blames the king and vows to kill him to avenge the deaths of everyone he loved. He spends several years becoming a great warrior. Dam, who has a photographic memory, becomes a court lady called So Yi, but she feels so guilty about her role in the other slaves' deaths that she is mute. Ddol Bok returns to the palace under the name of Kang Chae Yoon in order to kill the king. However, he becomes embroiled in the mystery surrounding the deaths of several Hall of Worthies scholars. The deaths were caused by a secret society called ""Hidden Root,"" which was created long ago by followers of Jeong Do Jeon, with the goal of giving more power to ministers and less to the king. King Tae Jong killed Jeong Do Jeon and all of his family except his nephew, Jeong Gi Joon, who is now the leader of Hidden Root and lives in disguise not far from King Se Jong.","Historical, Mystery, Political","Jang Tae Yoo, Shin Kyung Soo","Han Seok Kyu, Jang Hyuk, Shin Se Kyung, Jo Jin Woong, Park Hyuk Kwon, Hyun Woo",#232
49 Days,2011,20,8.3,"Shin Ji Hyun was enjoying absolute bliss as she was about to marry her fiancé, Kang Min Ho, but her perfect life is shattered when she gets into a car accident that leaves her in a coma. She is given a second chance at life by a person called The Scheduler, but it comes with a condition: she has to find three people outside of her family who would cry genuine tears for her. In order to do this, she borrows the body of Yi Kyung, a part-time employee at a convenience store for 49 days.","Romance, Drama, Melodrama, Supernatural","Jo Young Kwang, Park Yong Soon","Lee Yo Won, Nam Gyu Ri, Jung Il Woo, Jo Hyun Jae, Bae Soo Bin, Seo Ji Hye",#233
D-Day,2015,20,8.3,"An unprecedented 6.5-magnitude earthquake has struck Seoul, destroying roads and buildings, and preventing ambulances from reaching victims. Woefully unprepared for such a massive disaster, Korea can only watch the desperate situation and listen to the pleading cries for help. Hae Sung, a competent surgeon, can’t resist doing everything he can to help the injured people during the emergency. This upsets his hospital and they put him on a blacklist, as his benevolent help is against the hospital's profit. Ddol Mi, beautiful and ambitious, chased money and fame as a doctor, but now wants to become a truly compassionate doctor after meeting Hae Sung. Woo Jin has been building a successful career as Korea’s rising doctor, but secretly, he truly cares about being a genuine doctor, saving the lives of the sick. These three characters team up to rush into emergencies, holding onto hope in the most desperate situations, and taking all sorts of risks for the sake of saving lives.","Romance, Drama, Medical",Jang Yong Woo,"Kim Young Kwang, Jung So Min, Ha Seok Jin, Lee Kyung Young, Kim Hye Eun, Yoon Joo Hee",#234
Awaken,2020,16,8.3,"It’s been nearly thirty years since one small village was plagued by a mysterious string of events that shook it to its core. While the events were never fully understood, nor the mystery behind them solved, the stories surrounding the village slowly faded, drifting into obscurity amidst the steady passing of time. But when a new string of mysterious incidents begin to take place, memories long-forgotten begin to resurface, and this time, the villagers' cries for help will not go unheard. A legend among his peers, Do Jung Woo is the leader of one of the National Police Agency’s special task forces. While his outward appearance likens him more to an unruly child than a legendary officer, his keen insight and quick wit make him more than capable of solving any crime. After reports of numerous mysterious incidents begin to filter in, Jung Woo springs into action. But this isn’t a mystery he’s allowed to solve on his own. Working alongside Jung Woo, Officer Gong Hye Won refuses to let anything stand between her and what she wants. Tenacious and hot-tempered, she’s determined to solve every case, by any means necessary, and this case is no exception. Joined by Jamie, a detective on loan from the FBI, Jung Woo and Hye Won set out to unravel the present mysteries of this small village. But they soon realize that the incidents of the present tie strongly to those of the past. Will this team of experts be able to solve a case nearly thirty years in the making?","Thriller, Mystery, Crime, Fantasy","Jo Soo Won, Lee Soo Hyun","Namkoong Min, Kim Seol Hyun, Lee Chung Ah, Yoon Sun Woo, Yoon Gyung Ho, Kim Tae Woo",#235
